,TF,Target,Label
0,4,1013,1
1,4,1206,1
2,4,876,1
3,4,905,1
4,4,1006,1
5,4,1145,1
6,4,23,1
7,4,1071,1
8,4,1427,1
9,4,399,1
10,4,214,1
11,4,889,1
12,4,563,1
13,4,125,1
14,4,1473,1
15,4,1299,1
16,4,890,1
17,4,1229,1
18,4,824,1
19,4,1403,1
20,4,1401,1
21,4,1077,1
22,4,446,1
23,4,259,1
24,4,415,1
25,4,248,1
26,4,278,1
27,4,20,1
28,4,919,1
29,4,147,1
30,4,1542,1
31,4,220,1
32,4,1519,1
33,4,1353,1
34,4,663,1
35,4,1312,1
36,4,143,1
37,4,1180,1
38,4,590,1
39,4,543,1
40,4,105,1
41,4,958,1
42,4,500,1
43,4,702,1
44,4,413,1
45,4,115,1
46,4,812,1
47,4,24,1
48,4,674,1
49,4,276,1
50,4,358,1
51,4,849,1
52,4,1208,1
53,4,441,1
54,4,978,1
55,4,116,1
56,4,1108,1
57,4,1103,1
58,4,838,1
59,4,1174,1
60,4,238,1
61,4,137,1
62,4,1130,1
63,4,1405,1
64,4,1269,1
65,4,1012,1
66,4,646,1
67,4,1515,1
68,4,639,1
69,4,376,1
70,4,708,1
71,4,787,1
72,4,1362,1
73,4,1442,1
74,4,1510,1
75,4,117,1
76,4,785,1
77,4,909,1
78,4,209,1
79,4,661,1
80,4,1572,1
81,4,229,1
82,4,1231,1
83,4,691,1
84,4,328,1
85,4,1556,1
86,4,316,1
87,4,827,1
88,4,1440,1
89,4,1043,1
90,4,862,1
91,4,1246,1
92,4,944,1
93,4,778,1
94,4,1497,1
95,4,492,1
96,4,900,1
97,4,625,1
98,4,555,1
99,4,580,1
100,4,897,1
101,4,1149,1
102,4,588,1
103,4,123,1
104,4,1247,1
105,4,999,1
106,4,1280,1
107,4,972,1
108,4,63,1
109,4,520,1
110,4,40,1
111,4,584,1
112,4,1438,1
113,4,540,1
114,4,808,1
115,4,432,1
116,4,262,1
117,4,1263,1
118,4,670,1
119,4,1238,1
120,4,739,1
121,4,1355,1
122,4,879,1
123,4,1096,1
124,4,638,1
125,4,828,1
126,4,1272,1
127,4,589,1
128,4,235,1
129,4,78,1
130,4,1168,1
131,4,1195,1
132,4,1528,1
133,4,1468,1
134,4,96,1
135,4,1294,1
136,4,1533,1
137,4,933,1
138,4,445,1
139,4,1554,1
140,4,553,1
141,4,868,1
142,4,1039,1
143,4,765,1
144,4,219,1
145,4,428,1
146,4,32,1
147,4,1553,1
148,4,1083,1
149,4,369,1
150,4,407,1
151,4,820,1
152,4,1330,1
153,4,599,1
154,4,1125,1
155,4,241,1
156,4,1568,1
157,4,467,1
158,4,697,1
159,4,1375,1
160,4,1243,1
161,4,203,1
162,4,1345,1
163,4,1580,1
164,4,459,1
165,4,968,1
166,4,1374,1
167,4,412,1
168,4,1,1
169,4,1155,1
170,4,1535,1
171,4,1070,1
172,4,594,1
173,4,578,1
174,4,349,1
175,4,615,1
176,4,951,1
177,4,205,1
178,4,1151,1
179,4,1202,1
180,4,429,1
181,4,930,1
182,4,1498,1
183,4,111,1
184,4,1382,1
185,4,821,1
186,4,1486,1
187,4,762,1
188,4,477,1
189,4,609,1
190,4,135,1
191,4,581,1
192,4,28,1
193,4,607,1
194,4,498,1
195,4,18,1
196,4,91,1
197,4,910,1
198,4,313,1
199,4,1236,1
200,4,626,1
201,4,650,1
202,4,1260,1
203,4,1420,1
204,4,375,1
205,4,1367,1
206,4,567,1
207,4,982,1
208,4,836,1
209,4,1242,1
210,4,658,1
211,4,35,1
212,4,58,1
213,4,82,1
214,4,1504,1
215,4,57,1
216,4,722,1
217,4,1306,1
218,4,1342,1
219,4,1210,1
220,4,852,1
221,4,1448,1
222,4,681,1
223,4,129,1
224,4,1565,1
225,4,1040,1
226,4,934,1
227,4,550,1
228,4,1111,1
229,4,37,1
230,4,973,1
231,4,899,1
232,4,359,1
233,4,1287,1
234,4,1281,1
235,4,1038,1
236,4,1277,1
237,4,591,1
238,4,1376,1
239,4,662,1
240,4,530,1
241,4,641,1
242,4,1324,1
243,4,913,1
244,4,688,1
245,4,464,1
246,4,1399,1
247,4,871,1
248,4,332,1
249,4,1559,1
250,4,1116,1
251,4,1113,1
252,4,340,1
253,4,1053,1
254,4,1577,1
255,4,1384,1
256,4,850,1
257,4,1503,1
258,4,1388,1
259,4,141,1
260,4,1477,1
261,4,1169,1
262,4,1397,1
263,4,27,1
264,4,360,1
265,4,648,1
266,4,398,1
267,4,534,1
268,4,381,1
269,4,290,1
270,4,1222,1
271,4,642,1
272,4,544,1
273,4,726,1
274,4,1010,1
275,4,154,1
276,4,1521,1
277,4,200,1
278,4,816,1
279,4,87,1
280,4,1539,1
281,4,1390,1
282,4,719,1
283,4,1046,1
284,4,1101,1
285,4,1491,1
286,4,742,1
287,4,1288,1
288,4,1344,1
289,4,952,1
290,4,247,1
291,4,1409,1
292,4,1088,1
293,4,1460,1
294,4,173,1
295,4,460,1
296,4,1188,1
297,4,458,1
298,4,986,1
299,4,975,1
300,4,687,1
301,4,1441,1
302,4,552,1
303,4,329,1
304,4,9,1
305,4,502,1
306,4,1423,1
307,4,705,1
308,4,1389,1
309,4,1466,1
310,4,139,1
311,4,508,1
312,4,215,1
313,4,175,1
314,4,1474,1
315,4,949,1
316,4,473,1
317,4,759,1
318,4,1598,1
319,4,1541,1
320,4,529,1
321,4,298,1
322,4,752,1
