,TF,Target,Label
0,1,227,1
1,1,140,1
2,1,461,1
3,1,438,1
4,1,686,1
5,1,289,1
6,1,525,1
7,1,561,1
8,1,558,1
9,1,630,1
10,1,10,1
11,1,120,1
12,1,196,1
13,1,703,1
14,1,319,1
15,1,360,1
16,1,576,1
17,1,146,1
18,1,592,1
19,1,431,1
20,1,437,1
21,1,84,1
22,1,480,1
23,1,293,1
24,1,363,1
25,1,274,1
26,1,66,1
27,1,34,1
28,1,213,1
29,1,524,1
30,1,655,1
31,1,279,1
32,1,423,1
33,1,188,1
34,1,566,1
35,1,55,1
36,1,556,1
37,1,243,1
38,1,513,1
39,1,102,1
40,1,696,1
41,1,463,1
42,1,453,1
43,1,479,1
44,1,551,1
45,1,623,1
46,1,131,1
47,1,425,1
48,1,619,1
49,1,67,1
50,1,621,1
51,1,359,1
52,1,616,1
53,1,220,1
54,1,315,1
55,1,426,1
56,1,171,1
57,1,409,1
58,1,545,1
59,1,174,1
60,1,155,1
61,1,659,1
62,1,622,1
63,1,83,1
64,1,434,1
65,1,253,1
66,1,495,1
67,1,457,1
68,1,661,1
69,1,193,1
70,1,702,1
71,1,335,1
72,1,119,1
73,1,369,1
74,1,651,1
75,1,303,1
76,1,676,1
77,1,612,1
78,1,60,1
79,1,642,1
80,1,600,1
81,1,354,1
82,1,199,1
83,1,51,1
84,1,498,1
85,1,691,1
86,1,232,1
87,1,624,1
88,1,375,1
89,1,200,1
90,1,96,1
91,1,132,1
92,1,377,1
93,1,308,1
94,1,393,1
95,1,428,1
96,1,82,1
97,1,633,1
98,1,126,1
99,1,267,1
100,1,533,1
101,1,23,1
102,1,368,1
103,1,572,1
104,1,71,1
105,1,470,1
106,1,422,1
107,1,74,1
108,1,414,1
109,1,101,1
110,1,252,1
111,1,237,1
112,1,534,1
113,1,162,1
114,1,81,1
115,1,260,1
116,1,654,1
117,1,474,1
118,1,570,1
119,1,13,1
120,1,509,1
121,1,648,1
122,1,324,1
123,1,607,1
124,1,353,1
125,1,35,1
126,1,584,1
127,1,268,1
128,1,143,1
129,1,399,1
130,1,501,1
131,1,247,1
132,1,25,1
133,1,413,1
134,1,447,1
135,1,669,1
136,1,543,1
137,1,275,1
138,1,65,1
139,1,283,1
140,1,390,1
141,1,130,1
142,1,503,1
143,1,685,1
144,1,567,1
145,1,658,1
146,1,64,1
147,1,176,1
148,1,113,1
149,1,549,1
150,1,98,1
151,1,346,1
152,1,505,1
153,1,224,1
154,1,343,1
155,1,172,1
156,1,350,1
157,1,631,1
158,1,460,1
159,1,412,1
160,1,4,1
161,1,154,1
162,1,278,1
163,1,563,1
164,1,358,1
165,1,178,1
166,1,522,1
167,1,21,1
168,1,245,1
169,1,562,1
170,1,282,1
171,1,496,1
172,1,644,1
173,1,80,1
174,1,271,1
175,1,29,1
176,1,400,1
177,1,45,1
178,1,523,1
179,1,313,1
180,1,672,1
181,1,322,1
182,1,30,1
183,1,170,1
184,1,389,1
185,1,12,1
186,1,497,1
187,1,637,1
188,1,528,1
189,1,690,1
190,1,261,1
191,1,458,1
192,1,320,1
193,1,37,1
194,1,401,1
195,1,585,1
196,1,190,1
197,1,159,1
198,1,445,1
199,1,487,1
200,1,330,1
201,1,149,1
202,1,22,1
203,1,415,1
204,1,18,1
205,1,454,1
206,1,679,1
207,1,597,1
208,1,435,1
209,1,72,1
210,1,177,1
211,1,325,1
212,1,677,1
213,1,272,1
214,1,345,1
215,1,391,1
216,1,670,1
217,1,85,1
218,1,244,1
219,1,136,1
220,1,689,1
221,1,596,1
222,1,75,1
223,1,643,1
224,1,557,1
225,1,236,1
226,1,478,1
227,1,531,1
228,1,466,1
229,1,538,1
230,1,302,1
231,1,410,1
232,1,373,1
233,1,459,1
234,1,329,1
235,1,357,1
236,1,19,1
237,1,158,1
238,1,417,1
239,1,207,1
240,1,465,1
241,1,254,1
242,1,508,1
243,1,116,1
244,1,610,1
245,1,580,1
246,1,49,1
247,1,50,1
248,1,259,1
249,1,451,1
250,1,536,1
251,1,636,1
252,1,593,1
253,1,139,1
254,1,581,1
255,1,530,1
256,1,511,1
257,1,565,1
258,1,535,1
259,1,135,1
260,1,579,1
261,1,402,1
262,1,168,1
263,12,573,1
264,12,283,1
265,12,141,1
266,12,424,1
267,12,275,1
268,12,290,1
269,12,183,1
270,12,552,1
271,12,665,1
272,12,133,1
273,12,118,1
274,12,650,1
275,12,417,1
276,12,675,1
277,12,514,1
278,12,252,1
279,12,271,1
280,12,679,1
281,12,605,1
282,12,210,1
283,12,240,1
284,12,697,1
285,12,523,1
286,12,169,1
287,12,43,1
288,12,515,1
289,12,633,1
290,12,225,1
291,12,648,1
292,12,663,1
293,12,207,1
294,12,355,1
295,12,344,1
296,12,487,1
297,12,642,1
298,12,624,1
299,12,406,1
300,12,618,1
301,12,80,1
302,12,325,1
303,12,66,1
304,12,201,1
305,12,167,1
306,12,185,1
307,12,451,1
308,12,34,1
309,12,302,1
310,12,288,1
311,12,10,1
312,12,413,1
313,12,23,1
314,12,625,1
315,12,412,1
316,12,255,1
317,12,550,1
318,12,621,1
319,12,539,1
320,12,349,1
321,12,272,1
322,12,683,1
323,12,701,1
324,12,530,1
325,12,106,1
326,12,352,1
327,12,452,1
328,12,306,1
329,12,31,1
330,12,528,1
331,12,329,1
332,12,446,1
333,12,692,1
334,12,192,1
335,12,184,1
336,12,151,1
337,12,362,1
338,12,69,1
339,12,115,1
340,12,456,1
341,12,600,1
342,12,103,1
343,12,94,1
344,12,498,1
345,12,44,1
346,12,57,1
347,12,336,1
348,12,423,1
349,12,163,1
350,12,81,1
351,12,562,1
352,12,377,1
353,12,46,1
354,12,64,1
355,12,654,1
356,12,395,1
357,12,616,1
358,12,147,1
359,12,122,1
360,12,11,1
361,12,503,1
362,12,571,1
363,12,682,1
364,12,512,1
365,12,661,1
366,12,574,1
367,12,481,1
368,12,495,1
369,12,468,1
370,12,37,1
371,12,328,1
372,12,400,1
373,12,261,1
374,12,457,1
375,12,402,1
376,12,313,1
377,12,383,1
378,12,558,1
379,12,700,1
380,12,353,1
381,12,158,1
382,12,471,1
383,12,356,1
384,12,463,1
385,12,579,1
386,12,20,1
387,12,386,1
388,12,335,1
389,12,124,1
390,12,16,1
391,12,246,1
392,12,458,1
393,12,129,1
394,12,483,1
395,12,444,1
396,12,274,1
397,12,150,1
398,12,392,1
399,12,236,1
400,12,92,1
401,12,559,1
402,12,13,1
403,12,233,1
404,12,90,1
405,12,282,1
406,12,694,1
407,12,366,1
408,12,248,1
409,12,480,1
410,12,634,1
411,12,702,1
412,12,365,1
413,12,542,1
414,12,404,1
415,12,178,1
416,12,369,1
417,12,89,1
418,12,430,1
419,12,501,1
420,12,242,1
421,12,407,1
422,12,427,1
423,12,322,1
424,12,230,1
425,12,522,1
426,12,263,1
427,12,405,1
428,12,78,1
429,12,320,1
430,12,196,1
431,12,603,1
432,12,77,1
433,12,112,1
434,12,472,1
435,12,219,1
436,12,310,1
437,12,75,1
438,12,177,1
439,12,109,1
440,12,48,1
441,12,345,1
442,12,17,1
443,12,217,1
444,12,643,1
445,12,281,1
446,12,629,1
447,12,324,1
448,12,499,1
449,12,374,1
450,12,416,1
451,12,146,1
452,12,270,1
453,12,155,1
454,12,62,1
455,12,30,1
456,12,519,1
457,12,198,1
458,12,473,1
459,12,448,1
460,12,478,1
461,12,312,1
462,12,504,1
463,12,544,1
464,12,447,1
465,12,79,1
466,12,285,1
467,12,465,1
468,12,364,1
469,12,588,1
470,12,139,1
471,12,421,1
472,12,411,1
473,12,647,1
474,12,189,1
475,12,105,1
476,12,47,1
477,12,521,1
478,12,9,1
479,12,296,1
480,12,538,1
481,12,25,1
482,12,685,1
483,12,500,1
484,12,534,1
485,12,608,1
486,12,136,1
487,12,555,1
488,12,113,1
489,12,581,1
490,12,284,1
491,12,264,1
492,12,347,1
493,12,464,1
494,12,703,1
495,12,235,1
496,12,696,1
497,12,541,1
498,12,554,1
499,12,111,1
500,12,171,1
501,12,164,1
502,12,420,1
503,12,434,1
504,12,467,1
505,12,415,1
506,12,510,1
507,12,376,1
508,12,63,1
509,12,212,1
510,12,348,1
511,12,516,1
512,12,614,1
513,12,18,1
514,12,419,1
515,12,482,1
516,12,673,1
517,12,180,1
518,12,237,1
519,12,582,1
520,12,357,1
521,12,1,1
522,12,628,1
523,12,104,1
524,12,388,1
525,12,125,1
526,12,214,1
527,12,303,1
528,12,531,1
529,12,148,1
530,12,630,1
531,12,414,1
532,12,71,1
533,12,536,1
534,12,394,1
535,12,298,1
536,12,354,1
537,12,144,1
538,12,316,1
539,12,381,1
540,12,300,1
541,12,174,1
542,12,289,1
543,12,466,1
544,12,0,1
545,12,668,1
546,12,202,1
547,12,157,1
548,12,592,1
549,12,606,1
550,12,123,1
551,12,488,1
552,12,190,1
553,12,244,1
554,12,241,1
555,12,474,1
556,12,65,1
557,12,363,1
558,12,100,1
559,12,658,1
560,12,399,1
561,12,326,1
562,12,379,1
563,12,42,1
564,12,520,1
565,12,176,1
566,12,462,1
567,12,560,1
568,12,645,1
569,12,699,1
570,12,269,1
571,12,250,1
572,12,181,1
573,12,209,1
574,12,655,1
575,12,286,1
576,12,594,1
577,12,211,1
578,12,436,1
579,12,526,1
580,12,652,1
581,12,51,1
582,12,659,1
583,12,459,1
584,12,496,1
585,12,540,1
586,12,644,1
587,12,188,1
588,12,517,1
589,12,7,1
590,12,334,1
591,12,67,1
592,12,61,1
593,12,445,1
594,12,615,1
595,12,315,1
596,12,508,1
597,12,293,1
598,12,439,1
599,12,134,1
600,12,330,1
601,12,292,1
602,12,564,1
603,12,287,1
604,12,343,1
605,12,128,1
606,12,602,1
607,12,617,1
608,12,532,1
609,12,607,1
610,12,70,1
611,12,548,1
612,12,361,1
613,12,455,1
614,12,460,1
615,12,137,1
616,12,566,1
617,12,130,1
618,12,533,1
619,12,205,1
620,12,234,1
621,12,32,1
622,12,403,1
623,12,535,1
624,12,637,1
625,12,260,1
626,12,437,1
627,12,39,1
628,12,149,1
629,12,294,1
630,12,393,1
631,12,565,1
632,12,641,1
633,12,26,1
634,12,4,1
635,12,5,1
636,12,529,1
637,12,131,1
638,12,556,1
639,12,441,1
640,12,224,1
641,12,676,1
642,12,693,1
643,12,168,1
644,12,672,1
645,12,59,1
646,12,216,1
647,12,375,1
648,12,87,1
649,12,589,1
650,12,453,1
651,12,563,1
652,12,76,1
653,12,135,1
654,12,674,1
655,12,681,1
656,12,33,1
657,12,29,1
658,12,323,1
659,12,60,1
660,12,126,1
661,12,332,1
662,12,443,1
663,12,138,1
664,12,119,1
665,12,485,1
666,12,677,1
667,12,431,1
668,12,669,1
669,12,382,1
670,12,19,1
671,12,651,1
672,12,688,1
673,12,497,1
674,12,591,1
675,12,623,1
676,12,249,1
677,12,206,1
678,12,170,1
679,12,53,1
680,12,513,1
681,12,127,1
682,12,454,1
683,12,179,1
684,12,576,1
685,12,120,1
686,12,561,1
687,12,82,1
688,12,41,1
689,12,391,1
690,12,314,1
691,12,580,1
692,12,15,1
693,12,494,1
694,12,228,1
695,12,639,1
696,12,232,1
697,12,470,1
698,12,631,1
699,12,253,1
700,12,593,1
701,12,160,1
702,12,586,1
703,12,140,1
704,12,3,1
705,12,6,1
706,44,401,1
707,44,568,1
708,44,355,1
709,44,377,1
710,44,581,1
711,44,210,1
712,44,224,1
713,44,269,1
714,44,472,1
715,44,279,1
716,44,45,1
717,44,672,1
718,44,113,1
719,44,390,1
720,44,546,1
721,44,309,1
722,44,589,1
723,44,528,1
724,44,455,1
725,44,184,1
726,44,673,1
727,44,151,1
728,44,680,1
729,44,220,1
730,44,416,1
731,44,520,1
732,44,331,1
733,44,294,1
734,44,698,1
735,44,409,1
736,44,389,1
737,44,205,1
738,44,519,1
739,44,430,1
740,44,12,1
741,44,400,1
742,44,163,1
743,44,399,1
744,44,133,1
745,44,264,1
746,44,565,1
747,44,521,1
748,44,573,1
749,44,607,1
750,44,320,1
751,44,534,1
752,44,312,1
753,44,214,1
754,44,286,1
755,44,487,1
756,44,566,1
757,44,47,1
758,44,441,1
759,44,268,1
760,44,233,1
761,44,334,1
762,44,271,1
763,44,619,1
764,44,655,1
765,44,541,1
766,44,495,1
767,44,598,1
768,44,32,1
769,44,310,1
770,44,6,1
771,44,442,1
772,44,341,1
773,44,203,1
774,44,688,1
775,44,344,1
776,44,261,1
777,44,428,1
778,44,183,1
779,44,227,1
780,44,580,1
781,44,360,1
782,44,198,1
783,44,138,1
784,44,318,1
785,44,473,1
786,44,285,1
787,44,15,1
788,44,453,1
789,44,463,1
790,44,265,1
791,44,123,1
792,44,505,1
793,44,94,1
794,44,97,1
795,44,321,1
796,44,63,1
797,44,556,1
798,44,532,1
799,44,3,1
800,44,326,1
801,44,669,1
802,44,314,1
803,44,100,1
804,44,555,1
805,44,512,1
806,44,423,1
807,44,176,1
808,44,134,1
809,44,73,1
810,44,289,1
811,44,483,1
812,44,256,1
813,44,642,1
814,44,324,1
815,44,236,1
816,44,586,1
817,44,702,1
818,44,578,1
819,44,345,1
820,44,79,1
821,44,592,1
822,44,311,1
823,44,238,1
824,44,535,1
825,44,343,1
826,44,54,1
827,44,650,1
828,44,703,1
829,44,561,1
830,44,62,1
831,44,194,1
832,44,27,1
833,44,615,1
834,44,438,1
835,44,356,1
836,44,664,1
837,44,92,1
838,44,335,1
839,44,567,1
840,44,246,1
841,44,618,1
842,44,353,1
843,44,31,1
844,44,529,1
845,44,254,1
846,44,171,1
847,44,559,1
848,44,585,1
849,44,71,1
850,44,112,1
851,44,518,1
852,44,503,1
853,44,437,1
854,44,517,1
855,44,350,1
856,44,188,1
857,44,186,1
858,44,628,1
859,44,584,1
860,44,610,1
861,44,415,1
862,44,509,1
863,44,4,1
864,44,683,1
865,44,645,1
866,44,317,1
867,44,325,1
868,44,572,1
869,44,516,1
870,44,22,1
871,44,525,1
872,44,396,1
873,44,81,1
874,44,281,1
875,44,633,1
876,44,178,1
877,44,229,1
878,44,622,1
879,44,148,1
880,44,232,1
881,44,174,1
882,44,267,1
883,44,667,1
884,44,196,1
885,44,538,1
886,44,315,1
887,44,583,1
888,44,402,1
889,44,551,1
890,44,496,1
891,44,89,1
892,44,365,1
893,44,395,1
894,44,674,1
895,44,361,1
896,44,175,1
897,44,407,1
898,44,204,1
899,44,199,1
900,44,629,1
901,44,621,1
902,44,457,1
903,44,444,1
904,44,478,1
905,44,660,1
906,44,284,1
907,44,144,1
908,44,159,1
909,44,65,1
910,44,154,1
911,44,486,1
912,44,243,1
913,44,17,1
914,44,613,1
915,44,689,1
916,44,102,1
917,44,33,1
918,44,259,1
919,44,260,1
920,44,681,1
921,44,14,1
922,44,693,1
923,44,330,1
924,44,192,1
925,44,116,1
926,44,42,1
927,44,467,1
928,44,339,1
929,44,420,1
930,44,11,1
931,44,640,1
932,44,369,1
933,44,647,1
934,44,59,1
935,44,162,1
936,44,67,1
937,44,119,1
938,44,522,1
939,44,652,1
940,44,340,1
941,44,397,1
942,44,359,1
943,44,272,1
944,44,609,1
945,44,363,1
946,44,250,1
947,44,69,1
948,44,213,1
949,44,225,1
950,44,283,1
951,44,19,1
952,44,282,1
953,44,466,1
954,44,637,1
955,44,543,1
956,44,549,1
957,44,39,1
958,44,51,1
959,44,88,1
960,44,258,1
961,44,57,1
962,44,603,1
963,44,545,1
964,44,398,1
965,44,313,1
966,44,255,1
967,44,346,1
968,44,634,1
969,44,605,1
970,44,533,1
971,44,675,1
972,44,179,1
973,44,26,1
974,44,692,1
975,44,474,1
976,44,460,1
977,44,443,1
978,44,616,1
979,44,384,1
980,44,625,1
981,44,170,1
982,44,1,1
983,44,49,1
984,44,445,1
985,44,10,1
986,44,413,1
987,44,491,1
988,44,87,1
989,44,435,1
990,44,37,1
991,44,155,1
992,44,274,1
993,44,149,1
